City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
318,Spas,48.89,24.06,80.6,51,4,2.24,UA
319,Eyl,7.98,49.82,78.39,74,95,24.11,SO
320,Muros,42.78,-9.06,68.0,58,0,11.99,ES
321,Katsuura,35.13,140.3,80.6,94,75,6.93,JP
322,Nabire,-3.37,135.48,75.31,88,90,3.94,ID
323,Pacific Grove,36.62,-121.92,62.6,72,90,3.53,US
324,Hami,42.8,93.45,71.31,22,0,6.69,CN
325,Kerouane,9.27,-9.02,75.38,89,100,4.45,GN
326,Inirida,3.87,-67.92,73.99,96,100,2.95,CO
327,Kwekwe,-18.93,29.81,73.33,47,37,13.29,ZW
328,Victoria Point,-27.58,153.3,54.0,80,0,4.72,AU
329,Sao Geraldo Do Araguaia,-6.4,-48.55,103.98,17,0,6.71,BR
330,Bodden Town,19.28,-81.25,89.6,75,20,6.93,KY
331,Hirara,24.8,125.28,83.79,80,9,21.36,JP
332,Tanete,-3.94,119.78,74.62,85,81,7.52,ID
333,Colares,38.8,-9.45,72.0,46,0,27.51,PT
334,Nuuk,64.18,-51.72,59.0,47,5,3.36,GL
335,Ketovo,55.35,65.33,69.01,66,71,7.43,RU
336,Cerignola,41.26,15.9,91.99,52,40,6.93,IT
337,Nyrob,60.73,56.72,56.48,95,67,7.78,RU
338,Luderitz,-26.65,15.16,57.4,39,92,30.51,NA
339,Baoqing,46.33,132.21,55.44,90,100,6.42,CN
340,Mitsamiouli,-11.38,43.28,77.0,61,20,4.7,KM
341,Orocue,4.79,-71.34,88.68,55,81,5.06,CO
342,Port Elizabeth,-33.92,25.57,50.0,81,20,9.17,ZA
343,Torres,-29.34,-49.73,60.26,92,100,12.37,BR
344,Togur,58.36,82.83,53.1,93,31,3.65,RU
345,Bend,44.06,-121.32,64.99,16,1,5.82,US
346,Saintes,45.67,-0.75,69.8,52,75,12.75,FR
347,College,64.86,-147.8,54.0,76,75,3.13,US
348,Saint-Pierre,-21.34,55.48,68.0,77,2,8.05,RE
349,Jaen,38.0,-3.5,82.0,12,0,15.28,ES
350,Kothapet,19.33,79.48,78.69,83,0,2.82,IN
351,Muana,-1.53,-49.22,90.05,53,23,6.76,BR
352,Piracanjuba,-17.3,-49.02,94.77,16,45,3.8,BR
353,Pauini,-7.71,-66.98,95.59,35,99,1.14,BR
354,Himatangi,-40.4,175.32,53.01,92,95,1.01,NZ
355,Thinadhoo,0.53,72.93,83.1,73,7,12.77,MV
356,Bang Saphan,11.21,99.51,77.56,88,57,4.97,TH
357,Tanout,14.97,8.89,92.25,35,82,6.55,NE
358,Constitucion,-35.33,-72.42,55.87,53,0,14.88,CL
359,Cacapava,-23.1,-45.71,89.6,27,0,3.36,BR
360,Muisne,0.6,-80.03,84.2,79,40,10.29,EC
361,Skjervoy,70.03,20.97,46.4,75,20,11.41,NO
362,Moissac,44.1,1.09,68.0,56,41,3.36,FR
363,Lorengau,-2.02,147.27,81.25,80,92,9.4,PG
364,Bras-Panon,-21.0,55.68,71.6,68,10,17.22,RE
365,Jalu,29.03,21.55,90.95,18,0,7.18,LY
366,Ban Tak,17.04,99.08,77.95,85,100,2.82,TH
367,Vilyuysk,63.76,121.62,48.63,85,50,2.86,RU
368,Saint-Joseph,-21.37,55.62,68.0,77,15,8.05,RE
369,Boden,65.83,21.69,53.6,81,99,3.36,SE
370,Rio Grande,-32.03,-52.1,54.0,71,90,11.41,BR
